순,등록번호,청구기호,서명,저작자,편/권차,발행자,발행년,가격,자료실명
140,EM0000451699,MC 375.1-재98ㅅ,사실 나는!,글·그린이: 재희,,한림출판사,2019,12000,임시자료실
141,EM0000451700,J180-류67ㅅ,(초등학교 선생님이 알려주는 초등학생이 꼭 알아야 할) 새콤달콤 법칙 사전,글: 류윤환 ; 그림: 최고은,,미래와경영,2019,12000,임시자료실
142,EM0000451701,MC 375.1-사51ㅅ,손으로 뿅!,글: 사사가와 이사무  ; 그림: 덴묘 사치코  ; 옮김: 김영주,,웅진주니어,2019,10500,임시자료실
143,EM0000451702,J379-잔816ㅅ,수화로 시끌벅적 유쾌하게,라사 잔쵸스카이테 지음  ; 라미파 옮김,,한울림스페셜,2019,13000,임시자료실
144,EM0000451703,MC 410-김211ㅅ,숫자 숨바꼭질,김난지 글  ; 최나미 그림,,봄개울,2019,12000,임시자료실
145,EM0000451704,MC 375.1-스31ㅇ-1,(사랑하는 아들과 딸을 위한) 스마트 발달동화 . [1]-[10],도서출판 아들과딸  지음,1,아들과딸,,5500,임시자료실
146,EM0000451705,MC 375.1-스31ㅇ-2,(사랑하는 아들과 딸을 위한) 스마트 발달동화 . [1]-[10],도서출판 아들과딸  지음,2,아들과딸,,5500,임시자료실
147,EM0000451706,MC 375.1-스31ㅇ-3,(사랑하는 아들과 딸을 위한) 스마트 발달동화 . [1]-[10],도서출판 아들과딸  지음,3,아들과딸,,5500,임시자료실
148,EM0000451707,MC 375.1-스31ㅇ-4,(사랑하는 아들과 딸을 위한) 스마트 발달동화 . [1]-[10],도서출판 아들과딸  지음,4,아들과딸,,5500,임시자료실
149,EM0000451708,MC 375.1-스31ㅇ-5,(사랑하는 아들과 딸을 위한) 스마트 발달동화 . [1]-[10],도서출판 아들과딸  지음,5,아들과딸,,5500,임시자료실
150,EM0000451709,MC 375.1-스31ㅇ-6,(사랑하는 아들과 딸을 위한) 스마트 발달동화 . [1]-[10],도서출판 아들과딸  지음,6,아들과딸,,5500,임시자료실
