year_local,area,year,10a당 생산량 (kg)
1989_전라북도,전라북도,1989,4911
1990_전라북도,전라북도,1990,3949
1991_전라북도,전라북도,1991,4182
1992_전라북도,전라북도,1992,4184
1993_전라북도,전라북도,1993,3498
1994_전라북도,전라북도,1994,4218
1995_전라북도,전라북도,1995,5015
1996_전라북도,전라북도,1996,5235
1997_전라북도,전라북도,1997,5072
1998_전라북도,전라북도,1998,4965
1999_전라북도,전라북도,1999,5255
2000_전라북도,전라북도,2000,4185
2001_전라북도,전라북도,2001,4829
2002_전라북도,전라북도,2002,5757
2003_전라북도,전라북도,2003,5736
2004_전라북도,전라북도,2004,5417
2005_전라북도,전라북도,2005,5128
2006_전라북도,전라북도,2006,5219
2007_전라북도,전라북도,2007,5284
2008_전라북도,전라북도,2008,5949
2009_전라북도,전라북도,2009,6198
2010_전라북도,전라북도,2010,5849
2011_전라북도,전라북도,2011,5064
2012_전라북도,전라북도,2012,5550
2013_전라북도,전라북도,2013,5179
2014_전라북도,전라북도,2014,6710
2015_전라북도,전라북도,2015,5563
2016_전라북도,전라북도,2016,6508
2017_전라북도,전라북도,2017,6225
2018_전라북도,전라북도,2018,6171
2019_전라북도,전라북도,2019,7957
1981_전라남도,전라남도,1981,2839
1982_전라남도,전라남도,1982,2561
1983_전라남도,전라남도,1983,3392
1984_전라남도,전라남도,1984,2821
1985_전라남도,전라남도,1985,3372
1986_전라남도,전라남도,1986,3446
1987_전라남도,전라남도,1987,3910
1988_전라남도,전라남도,1988,4290
1989_전라남도,전라남도,1989,4617
1990_전라남도,전라남도,1990,4792
1991_전라남도,전라남도,1991,4726
1992_전라남도,전라남도,1992,5486
1993_전라남도,전라남도,1993,5490
1994_전라남도,전라남도,1994,5649
1995_전라남도,전라남도,1995,6235
1996_전라남도,전라남도,1996,5926
1997_전라남도,전라남도,1997,5659
1998_전라남도,전라남도,1998,5730
1999_전라남도,전라남도,1999,5727
2000_전라남도,전라남도,2000,5123
2001_전라남도,전라남도,2001,5544
2002_전라남도,전라남도,2002,6010
2003_전라남도,전라남도,2003,6130
2004_전라남도,전라남도,2004,5824
2005_전라남도,전라남도,2005,6029
2006_전라남도,전라남도,2006,5592
2007_전라남도,전라남도,2007,6976
2008_전라남도,전라남도,2008,6561
2009_전라남도,전라남도,2009,7395
2010_전라남도,전라남도,2010,6390
2011_전라남도,전라남도,2011,6417
2012_전라남도,전라남도,2012,5441
2013_전라남도,전라남도,2013,5730
2014_전라남도,전라남도,2014,6319
2015_전라남도,전라남도,2015,5923
2016_전라남도,전라남도,2016,5981
2017_전라남도,전라남도,2017,5578
2018_전라남도,전라남도,2018,4932
2019_전라남도,전라남도,2019,6873
1981_경상북도,경상북도,1981,3325
1982_경상북도,경상북도,1982,3585
1983_경상북도,경상북도,1983,4475
1984_경상북도,경상북도,1984,4232
1985_경상북도,경상북도,1985,6115
1986_경상북도,경상북도,1986,4918
1987_경상북도,경상북도,1987,5388
1988_경상북도,경상북도,1988,5550
1989_경상북도,경상북도,1989,6606
1990_경상북도,경상북도,1990,6369
1991_경상북도,경상북도,1991,6300
1992_경상북도,경상북도,1992,6605
1993_경상북도,경상북도,1993,6325
1994_경상북도,경상북도,1994,6008
1995_경상북도,경상북도,1995,6624
1996_경상북도,경상북도,1996,6578
1997_경상북도,경상북도,1997,6511
1998_경상북도,경상북도,1998,6580
1999_경상북도,경상북도,1999,5614
2000_경상북도,경상북도,2000,5592
2001_경상북도,경상북도,2001,5624
2002_경상북도,경상북도,2002,6356
2003_경상북도,경상북도,2003,6112
2004_경상북도,경상북도,2004,6862
2005_경상북도,경상북도,2005,6606
2006_경상북도,경상북도,2006,6515
2007_경상북도,경상북도,2007,7128
2008_경상북도,경상북도,2008,7955
2009_경상북도,경상북도,2009,7880
2010_경상북도,경상북도,2010,6613
2011_경상북도,경상북도,2011,7067
2012_경상북도,경상북도,2012,6433
2013_경상북도,경상북도,2013,7464
2014_경상북도,경상북도,2014,7193
2015_경상북도,경상북도,2015,6463
2016_경상북도,경상북도,2016,7117
2017_경상북도,경상북도,2017,5974
2018_경상북도,경상북도,2018,6296
2019_경상북도,경상북도,2019,7471
1981_경상남도,경상남도,1981,2408
1982_경상남도,경상남도,1982,3321
1983_경상남도,경상남도,1983,3727
1984_경상남도,경상남도,1984,3277
1985_경상남도,경상남도,1985,4093
1986_경상남도,경상남도,1986,3739
1987_경상남도,경상남도,1987,4339
1988_경상남도,경상남도,1988,5033
1989_경상남도,경상남도,1989,5652
1990_경상남도,경상남도,1990,5633
1991_경상남도,경상남도,1991,5121
1992_경상남도,경상남도,1992,5786
1993_경상남도,경상남도,1993,5848
1994_경상남도,경상남도,1994,5274
1995_경상남도,경상남도,1995,5991
1996_경상남도,경상남도,1996,5789
1997_경상남도,경상남도,1997,5968
1998_경상남도,경상남도,1998,5880
1999_경상남도,경상남도,1999,6200
2000_경상남도,경상남도,2000,5264
2001_경상남도,경상남도,2001,6045
2002_경상남도,경상남도,2002,6150
2003_경상남도,경상남도,2003,5883
2004_경상남도,경상남도,2004,6538
2005_경상남도,경상남도,2005,6365
2006_경상남도,경상남도,2006,6198
2007_경상남도,경상남도,2007,7057
2008_경상남도,경상남도,2008,6995
2009_경상남도,경상남도,2009,8386
2010_경상남도,경상남도,2010,7153
2011_경상남도,경상남도,2011,7382
2012_경상남도,경상남도,2012,6277
2013_경상남도,경상남도,2013,8230
2014_경상남도,경상남도,2014,7237
2015_경상남도,경상남도,2015,6581
2016_경상남도,경상남도,2016,7434
2017_경상남도,경상남도,2017,6081
2018_경상남도,경상남도,2018,6601
2019_경상남도,경상남도,2019,8170
1981_제주도,제주도,1981,4146
1982_제주도,제주도,1982,4477
1983_제주도,제주도,1983,3483
1984_제주도,제주도,1984,4242
1985_제주도,제주도,1985,3749
1986_제주도,제주도,1986,4581
1987_제주도,제주도,1987,4715
1988_제주도,제주도,1988,4424
1989_제주도,제주도,1989,4578
1990_제주도,제주도,1990,4719
1991_제주도,제주도,1991,4907
1992_제주도,제주도,1992,5445
1993_제주도,제주도,1993,6342
1994_제주도,제주도,1994,6380
1995_제주도,제주도,1995,6315
1996_제주도,제주도,1996,6464
1997_제주도,제주도,1997,6837
1998_제주도,제주도,1998,6122
1999_제주도,제주도,1999,6507
2000_제주도,제주도,2000,5561
2001_제주도,제주도,2001,6253
2002_제주도,제주도,2002,6492
2003_제주도,제주도,2003,6175
2004_제주도,제주도,2004,6646
2005_제주도,제주도,2005,6037
2006_제주도,제주도,2006,5876
2007_제주도,제주도,2007,6264
2008_제주도,제주도,2008,6161
2009_제주도,제주도,2009,5822
2010_제주도,제주도,2010,5091
2011_제주도,제주도,2011,7103
2012_제주도,제주도,2012,6386
2013_제주도,제주도,2013,6681
2014_제주도,제주도,2014,7220
2015_제주도,제주도,2015,6552
2016_제주도,제주도,2016,6458
2017_제주도,제주도,2017,6945
2018_제주도,제주도,2018,6740
2019_제주도,제주도,2019,7875
