구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
2015년04월,1590.64,1500.67,1486.65,1510.69,1492.57,1503.22,1495.08,1514.35,1509.16,1509.56,1512.46,1497.89,1500.07,1486.29,1493.16,1539.79
2015년05월,1637.01,1539.09,1527.16,1551.11,1527.32,1539.35,1532.52,1552.60,1542.61,1538.60,1541.16,1530.75,1527.59,1518.47,1524.48,1603.77
2015년06월,1670.46,1571.07,1569.50,1580.86,1564.17,1573.47,1570.94,1588.83,1582.19,1576.88,1577.64,1567.15,1567.43,1560.96,1564.64,1652.35
2015년07월,1664.34,1558.39,1556.01,1573.02,1557.52,1571.53,1561.71,1583.57,1582.67,1577.75,1577.40,1561.99,1568.06,1557.57,1562.02,1638.94
2015년08월,1635.58,1526.63,1520.39,1544.98,1520.20,1536.35,1524.89,1552.02,1554.43,1550.13,1547.90,1528.32,1542.04,1524.36,1528.68,1594.84
2015년09월,1601.05,1493.24,1486.42,1513.60,1485.35,1503.02,1491.14,1518.95,1518.90,1519.35,1516.47,1497.66,1507.94,1493.02,1493.18,1561.82
2015년10월,1582.03,1482.04,1474.18,1497.83,1472.88,1492.93,1483.24,1505.41,1502.46,1504.80,1503.82,1487.84,1494.47,1481.65,1481.25,1556.47
2015년11월,1550.72,1457.00,1445.05,1460.99,1449.63,1464.83,1465.39,1475.81,1478.89,1481.83,1482.87,1465.84,1471.33,1459.43,1461.72,1510.33
2015년12월,1516.17,1412.60,1401.71,1424.83,1413.72,1422.09,1417.77,1436.50,1439.26,1439.54,1442.94,1423.92,1435.86,1415.78,1417.21,1467.66
2016년01월,1472.15,1367.37,1356.75,1383.03,1369.57,1379.67,1364.50,1390.59,1391.35,1390.31,1395.06,1373.38,1386.30,1366.49,1370.17,1399.57
2016년02월,1435.31,1333.69,1330.27,1347.94,1334.67,1342.82,1328.41,1358.25,1354.31,1357.73,1360.66,1342.17,1352.03,1332.61,1336.52,1367.60
2016년03월,1428.65,1338.16,1332.89,1344.39,1330.25,1341.31,1327.02,1356.57,1349.12,1354.20,1357.74,1342.99,1347.87,1332.30,1334.61,1396.02
2016년04월,1436.77,1352.91,1340.73,1351.82,1341.30,1351.48,1343.32,1365.98,1361.20,1365.29,1369.11,1353.87,1359.99,1347.34,1348.79,1415.83
