,카드뮴 Cd,구리 Cu,비소 As,수은 Hg,납 Pb,6가크롬 Cr6+,아연 Zn,니켈 Ni,불소 F,유기인,폴리클로리네이티드비페닐 PCB,시안 CN,페놀류,유류,트리클로로에틸렌 TCE,테트라클로로에틸렌 PCE,수소이온농도 pH
2006_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006_울산광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2006_인천광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2006_전라남도,0.063373,15.4454125,3.6510165,0.023801000000000003,12.5848865,0.1566385,57.36762,13.349686000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5448640000000005
2006_전라북도,0.061265,14.8408625,3.5286824999999995,0.022905,12.1635825,0.14954250000000002,55.3591,12.909980000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39552
2006_제주도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2006_충청남도,0.06093799999999999,14.959457,3.5117849999999997,0.02301,12.104517000000001,0.15285300000000002,55.282120000000006,12.831596000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.368064
2006_충청북도,0.043408999999999996,11.1427985,2.5063725,0.01695,8.637021,0.118989,39.917410000000004,9.117240500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1017520000000003
2007_강원도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2007_경기도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2007_경상남도,0.08041899999999999,20.9003395,4.6457955,0.031697,16.0084625,0.2257825,74.23476,16.878163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.741072
2007_경상북도,0.071347,18.9035635,4.1252415000000004,0.028536,14.213249999999999,0.20781,66.25913,14.9568565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.086136000000001
2007_광주광역시,0.054563,15.158979500000001,3.1616775,0.022629999999999997,10.890457000000001,0.17351299999999997,51.44787,11.404683499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8754640000000005
2007_대구광역시,0.077597,20.0557565,4.4816804999999995,0.030457,15.4434145,0.21555049999999998,71.50698,16.291214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.541856
2007_대전광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2007_부산광역시,0.04649,13.414216999999999,2.698761,0.019854,9.293883000000001,0.158187,44.385999999999996,9.69341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2920000000000003
2007_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_울산광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2007_인천광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2007_전라남도,0.049633,14.1198145,2.8792425,0.020965,9.916244500000001,0.1647005,47.16442,10.358386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.518624
2007_전라북도,0.061155999999999995,16.656922,3.5404440000000004,0.024980999999999996,12.1964985,0.1875465,57.295790000000004,12.7987345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.350488
2007_제주도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2007_충청남도,0.047741,13.7027165,2.7706725,0.020305,9.5418265,0.16093849999999998,45.50034,9.957722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.382048
2007_충청북도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2008_강원도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2008_경기도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2008_경상남도,0.046827999999999995,10.599886,2.689872,0.016652999999999998,9.2752305,0.09885450000000001,41.49227,9.9033985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374744
2008_경상북도,0.053515999999999994,12.557342,3.078384,0.019541,10.6130585,0.1221865,47.90819,11.2965545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8477680000000003
2008_광주광역시,0.053655999999999995,12.623164,3.08676,0.019629999999999998,10.641798999999999,0.123191,48.06994,11.324527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857168
2008_대구광역시,0.044060999999999996,9.8055645,2.5292864999999995,0.015475999999999998,8.722196,0.089524,38.854989999999994,9.3262695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178728
2008_대전광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2008_부산광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2008_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_울산광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2008_인천광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2008_전라남도,0.062801,15.2779985,3.6177885,0.023554,12.470467,0.154643,56.818889999999996,13.230534500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.504408
2008_전라북도,0.057520999999999996,13.7326385,3.3110685,0.021274,11.414286999999998,0.136223,51.75369,12.130674500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.130968
2008_제주도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2008_충청남도,0.061378,15.088237,3.5373449999999997,0.0232,12.192532,0.15438800000000003,55.70422000000001,12.923251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.399184
2008_충청북도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2009_강원도,0.050316,14.254494000000001,2.91828,0.021185,10.0509365,0.1657285,47.74759,10.5037845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5682480000000005
2009_경기도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2009_경상남도,0.08261099999999999,21.3803955,4.771549500000001,0.032458,16.442155,0.230075,76.15919,17.3425095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.899368000000001
